step,episode,timestamp,env/episode_length,env/episode_reward,env/score_diff,env/win_rate_100,train/epsilon,train/loss
0,0,2026-01-04T09:31:25.269417,27,1.6166758052434458,25,1.0,0.999981,0.0
0,1,2026-01-04T09:31:25.840005,31,0.5733354307116107,-7,0.5,0.999962,0.0
