step,episode,timestamp,env/episode_length,env/episode_reward,env/score_diff,env/win_rate_100,train/epsilon,train/loss,eval/avg_score_diff,eval/avg_steps,eval/losses,eval/win_rate,eval/wins
0,0,2026-01-04T10:35:58.908827,28,0.5039027715355804,-10,0.0,0.999981,0.0,,,,,
0,1,2026-01-04T10:35:59.330994,24,0.4374866666666667,-2,0.0,0.999962,0.0,,,,,
0,2,2026-01-04T10:35:59.836815,25,1.5011694382022474,1,0.3333333333333333,0.999943,0.0,,,,,
0,3,2026-01-04T10:36:00.389911,29,1.6390119850187268,14,0.5,0.999924,0.0,,,,,
2,4,2026-01-04T10:36:03.169454,31,0.5513791011235956,-14,0.4,0.999905,0.6234551258385181,,,,,
6,5,2026-01-04T10:36:08.245470,30,0.5977916104868914,0,0.3333333333333333,0.999886,0.2106191269122064,,,,,
10,6,2026-01-04T10:36:13.235004,27,0.4752858426966292,-2,0.2857142857142857,0.999867,0.05371900647878647,,,,,
15,7,2026-01-04T10:36:19.335234,30,1.636825468164794,17,0.375,0.999848,0.01635639797896147,,,,,
19,8,2026-01-04T10:36:24.311858,27,1.618965168539326,23,0.4444444444444444,0.999829,0.00931287813000381,,,,,
23,9,2026-01-04T10:36:29.227152,24,1.4687735580524344,8,0.5,0.99981,0.009236858924850821,,,,,
27,10,2026-01-04T10:36:34.255852,31,1.6260832958801497,3,0.5454545454545454,0.999791,0.007519156555645168,,,,,
31,11,2026-01-04T10:36:39.249735,26,1.593998277153558,20,0.5833333333333334,0.999772,0.007743061403743923,,,,,
34,12,2026-01-04T10:36:43.095355,24,0.43183123595505624,-17,0.5384615384615384,0.999753,0.006323136389255524,,,,,
38,13,2026-01-04T10:36:48.061986,28,1.5576137078651686,10,0.5714285714285714,0.999734,0.005600016855169088,,,,,
41,14,2026-01-04T10:36:51.903996,24,0.4513054681647939,-1,0.5333333333333333,0.999715,0.004590113802502553,,,,,
44,15,2026-01-04T10:36:55.777200,25,0.4362733333333334,-4,0.5,0.999696,0.0016818769508972764,,,,,
48,16,2026-01-04T10:37:00.810420,28,0.5628761797752808,4,0.5294117647058824,0.999677,0.0016404198831878603,,,,,
52,17,2026-01-04T10:37:05.810432,30,1.6030296629213483,11,0.5555555555555556,0.999658,0.001250199493370019,,,,,
56,18,2026-01-04T10:37:10.835547,25,1.5460714606741575,15,0.5789473684210527,0.999639,0.003044631768716499,,,,,
60,19,2026-01-04T10:37:15.797749,24,1.487037902621723,10,0.6,0.99962,0.005115231630043127,,,,,
63,20,2026-01-04T10:37:19.727805,25,0.385605468164794,-14,0.5714285714285714,0.999601,0.002549799954673896,,,,,
67,21,2026-01-04T10:37:24.753989,27,0.48695325842696635,-4,0.5454545454545454,0.999582,0.0032064444676507264,,,,,
71,22,2026-01-04T10:37:29.728113,26,0.5194104119850189,1,0.5652173913043478,0.999563,0.002605356596177444,,,,,
75,23,2026-01-04T10:37:34.690570,27,0.47744973782771516,-5,0.5416666666666666,0.999544,0.0009018351993290707,,,,,
79,24,2026-01-04T10:37:39.681368,30,1.6221337078651685,9,0.56,0.999525,0.0013569091825047508,,,,,
82,25,2026-01-04T10:37:43.518284,24,0.4615752059925094,-2,0.5384615384615384,0.999506,0.001304886400854836,,,,,
86,26,2026-01-04T10:37:48.580889,25,1.568189513108614,18,0.5555555555555556,0.999487,0.001186644978588447,,,,,
90,27,2026-01-04T10:37:53.544585,24,1.4885684644194759,6,0.5714285714285714,0.999468,0.0025856831634882838,,,,,
94,28,2026-01-04T10:37:58.572873,28,0.5121878651685393,1,0.5862068965517241,0.999449,0.005190432158997282,,,,,
98,29,2026-01-04T10:38:03.591890,27,1.6364213483146068,25,0.6,0.99943,0.003116204112302512,,,,,
102,30,2026-01-04T10:38:08.577295,28,0.5402811985018727,0,0.5806451612903226,0.999411,0.005312831090122927,,,,,
106,31,2026-01-04T10:38:13.660713,28,0.5157810486891385,1,0.59375,0.999392,0.0013401659816736355,,,,,
111,32,2026-01-04T10:38:19.890762,29,1.6485935580524345,27,0.6060606060606061,0.999373,0.0028300412464886903,,,,,
